time,gFx,gFy,gFz,
54:16.3,0.586,-0.674,-0.523,1.035
54:16.4,0.45,-0.608,-0.539,0.929
54:16.4,0.45,-0.608,-0.539,0.929
54:16.4,0.383,-0.573,-0.58,0.901
54:16.4,0.376,-0.556,-0.57,0.881
54:16.4,0.503,-0.587,-0.522,0.933
54:16.4,0.556,-0.581,-0.486,0.94
54:16.4,0.669,-0.652,-0.544,1.081
54:16.4,0.782,-0.627,-0.59,1.163
54:16.4,0.898,-0.59,-0.618,1.24
54:16.4,0.901,-0.593,-0.577,1.223
54:16.5,0.727,-0.639,-0.551,1.114
54:16.5,0.727,-0.639,-0.551,1.114
54:16.5,0.75,-0.62,-0.526,1.106
54:16.5,0.633,-0.568,-0.53,1.002
54:16.5,0.62,-0.518,-0.548,0.976
54:16.5,0.689,-0.506,-0.564,1.024
54:16.5,0.761,-0.515,-0.583,1.088
54:16.5,0.8,-0.499,-0.562,1.098
54:16.5,0.767,-0.462,-0.571,1.062
54:16.5,0.632,-0.474,-0.518,0.945
54:16.6,0.508,-0.555,-0.504,0.906
54:16.6,0.508,-0.555,-0.504,0.906
54:16.6,0.555,-0.555,-0.525,0.944
54:16.6,0.554,-0.534,-0.524,0.931
54:16.6,0.593,-0.522,-0.549,0.962
54:16.6,0.617,-0.501,-0.56,0.972
54:16.6,0.634,-0.496,-0.571,0.987
54:16.6,0.623,-0.535,-0.541,0.983
54:16.6,0.602,-0.529,-0.564,0.98
54:16.7,0.64,-0.562,-0.574,1.027
54:16.7,0.64,-0.562,-0.574,1.027
54:16.7,0.64,-0.562,-0.574,1.027
54:16.7,0.72,-0.538,-0.581,1.07
54:16.7,0.736,-0.526,-0.595,1.083
54:16.7,0.694,-0.547,-0.57,1.052
54:16.7,0.571,-0.585,-0.578,1.001
54:16.7,0.507,-0.55,-0.53,0.917
54:16.7,0.545,-0.478,-0.581,0.929
54:16.7,0.557,-0.396,-0.634,0.932
54:16.8,0.621,-0.274,-0.643,0.935
54:16.8,0.621,-0.274,-0.643,0.935
54:16.8,0.621,-0.274,-0.643,0.935
54:16.8,0.651,-0.439,-0.577,0.974
54:16.8,0.766,-0.55,-0.543,1.088
54:16.8,0.826,-0.625,-0.505,1.152
54:16.8,0.944,-0.625,-0.522,1.247
54:16.8,1.003,-0.556,-0.572,1.282
54:16.8,0.786,-0.537,-0.643,1.149
54:16.8,0.51,-0.555,-0.616,0.973
54:16.9,0.627,-0.417,-0.553,0.934
54:16.9,0.627,-0.417,-0.553,0.934
54:16.9,0.627,-0.417,-0.553,0.934
54:16.9,0.625,-0.36,-0.565,0.916
54:16.9,0.618,-0.338,-0.572,0.907
54:16.9,0.595,-0.299,-0.565,0.873
54:16.9,0.643,-0.282,-0.557,0.896
54:16.9,0.712,-0.344,-0.547,0.962
54:16.9,0.739,-0.463,-0.589,1.052
54:16.9,0.752,-0.528,-0.603,1.099
54:17.0,0.653,-0.531,-0.604,1.036
54:17.0,0.653,-0.531,-0.604,1.036
54:17.0,0.653,-0.531,-0.604,1.036
54:17.0,0.625,-0.493,-0.59,0.991
54:17.0,0.622,-0.47,-0.59,0.978
54:17.0,0.647,-0.475,-0.55,0.973
54:17.0,0.678,-0.462,-0.536,0.98
54:17.0,0.688,-0.454,-0.528,0.979
54:17.0,0.683,-0.5,-0.517,0.992
54:17.0,0.683,-0.522,-0.557,1.024
54:17.0,0.694,-0.55,-0.564,1.05
54:17.1,0.651,-0.545,-0.595,1.037
54:17.1,0.651,-0.545,-0.595,1.037
54:17.1,0.639,-0.564,-0.586,1.034
54:17.1,0.594,-0.567,-0.614,1.025
54:17.1,0.59,-0.528,-0.622,1.007
54:17.1,0.635,-0.445,-0.601,0.981
54:17.1,0.615,-0.416,-0.565,0.933
54:17.1,0.597,-0.469,-0.592,0.963
54:17.1,0.582,-0.539,-0.612,1.002
54:17.1,0.609,-0.555,-0.623,1.033
54:17.2,0.646,-0.532,-0.578,1.017
54:17.2,0.646,-0.532,-0.578,1.017
54:17.2,0.632,-0.568,-0.563,1.019
54:17.2,0.605,-0.552,-0.553,0.988
54:17.2,0.67,-0.536,-0.511,0.999
54:17.2,0.697,-0.542,-0.532,1.031
54:17.2,0.727,-0.525,-0.545,1.049
54:17.2,0.739,-0.481,-0.555,1.042
54:17.2,0.756,-0.464,-0.572,1.055
54:17.3,0.659,-0.486,-0.556,0.99
54:17.3,0.659,-0.486,-0.556,0.99
54:17.3,0.659,-0.486,-0.556,0.99
54:17.3,0.671,-0.485,-0.539,0.988
54:17.3,0.727,-0.492,-0.52,1.02
54:17.3,0.697,-0.422,-0.531,0.973
54:17.3,0.691,-0.442,-0.543,0.984
54:17.3,0.693,-0.443,-0.58,1.006
54:17.3,0.709,-0.388,-0.59,1.001
54:17.3,0.738,-0.371,-0.585,1.012
54:17.3,0.729,-0.374,-0.595,1.013
54:17.4,0.678,-0.409,-0.571,0.976
54:17.4,0.678,-0.409,-0.571,0.976
54:17.4,0.668,-0.417,-0.561,0.967
54:17.4,0.677,-0.426,-0.559,0.976
54:17.4,0.698,-0.427,-0.56,0.992
54:17.4,0.705,-0.445,-0.571,1.01
54:17.4,0.704,-0.453,-0.575,1.016
54:17.4,0.706,-0.446,-0.574,1.013
54:17.4,0.691,-0.467,-0.574,1.012
54:17.4,0.685,-0.48,-0.568,1.011
54:17.5,0.653,-0.48,-0.571,0.991
54:17.5,0.653,-0.48,-0.571,0.991
54:17.5,0.654,-0.479,-0.573,0.993
54:17.5,0.651,-0.498,-0.583,1.006
54:17.5,0.642,-0.483,-0.598,1.002
54:17.5,0.641,-0.494,-0.576,0.993
54:17.5,0.646,-0.494,-0.593,1.006
54:17.5,0.624,-0.512,-0.579,0.993
54:17.5,0.608,-0.52,-0.589,0.993
54:17.5,0.601,-0.526,-0.578,0.986
54:17.6,0.653,-0.563,-0.592,1.046
54:17.6,0.653,-0.563,-0.592,1.046
54:17.6,0.631,-0.571,-0.605,1.044
54:17.6,0.613,-0.574,-0.581,1.021
54:17.6,0.607,-0.576,-0.575,1.015
54:17.6,0.605,-0.569,-0.567,1.006
54:17.6,0.61,-0.577,-0.562,1.01
54:17.6,0.607,-0.578,-0.563,1.01
54:17.6,0.604,-0.572,-0.571,1.009
54:17.7,0.616,-0.573,-0.578,1.021
54:17.7,0.636,-0.569,-0.576,1.03
54:17.7,0.636,-0.569,-0.576,1.03
54:17.7,0.633,-0.569,-0.575,1.027
54:17.7,0.634,-0.568,-0.572,1.026
54:17.7,0.632,-0.561,-0.57,1.019
54:17.7,0.627,-0.552,-0.575,1.014
54:17.7,0.627,-0.536,-0.576,1.006
54:17.7,0.631,-0.519,-0.579,1.001
54:17.7,0.632,-0.509,-0.58,0.997
54:17.8,0.63,-0.507,-0.583,0.997
54:17.8,0.634,-0.493,-0.584,0.993
54:17.8,0.634,-0.493,-0.584,0.993
54:17.8,0.634,-0.507,-0.578,0.997
54:17.8,0.618,-0.539,-0.569,0.998
54:17.8,0.511,-0.552,-0.645,0.991
54:17.8,0.562,-0.476,-0.607,0.954
54:17.8,0.648,-0.589,-0.638,1.083
54:17.8,0.679,-0.523,-0.599,1.046
54:17.8,0.672,-0.493,-0.65,1.057
54:17.9,0.522,-0.567,-0.642,1.003
54:17.9,0.522,-0.567,-0.642,1.003
54:17.9,0.522,-0.567,-0.642,1.003
54:17.9,0.544,-0.614,-0.598,1.015
54:17.9,0.59,-0.625,-0.641,1.072
54:17.9,0.632,-0.531,-0.607,1.025
54:17.9,0.68,-0.488,-0.641,1.054
54:17.9,0.665,-0.489,-0.613,1.028
54:17.9,0.658,-0.432,-0.601,0.99
54:17.9,0.652,-0.402,-0.591,0.967
54:17.9,0.628,-0.398,-0.566,0.934
54:18.0,0.653,-0.429,-0.548,0.954
54:18.0,0.653,-0.429,-0.548,0.954
54:18.0,0.703,-0.469,-0.563,1.015
54:18.0,0.73,-0.489,-0.567,1.046
54:18.0,0.732,-0.481,-0.593,1.058
54:18.0,0.685,-0.506,-0.587,1.034
54:18.0,0.662,-0.474,-0.587,1.004
54:18.0,0.672,-0.452,-0.561,0.985
54:18.0,0.702,-0.442,-0.548,0.994
54:18.1,0.707,-0.448,-0.528,0.99
54:18.1,0.72,-0.512,-0.496,1.013
54:18.1,0.72,-0.512,-0.496,1.013
54:18.1,0.72,-0.512,-0.496,1.013
54:18.1,0.773,-0.51,-0.47,1.039
54:18.1,0.869,-0.456,-0.415,1.066
54:18.1,0.89,-0.41,-0.469,1.086
54:18.1,0.889,-0.354,-0.5,1.08
54:18.1,0.833,-0.358,-0.548,1.059
54:18.1,0.776,-0.331,-0.5,0.981
54:18.2,0.734,-0.49,-0.386,0.963
54:18.2,0.734,-0.49,-0.386,0.963
54:18.2,0.734,-0.49,-0.386,0.963
54:18.2,0.729,-0.561,-0.415,1.009
54:18.2,0.827,-0.576,-0.495,1.123
54:18.2,0.849,-0.548,-0.482,1.12
54:18.2,0.834,-0.472,-0.482,1.073
54:18.2,0.861,-0.406,-0.477,1.065
54:18.2,0.81,-0.361,-0.479,1.008
54:18.2,0.814,-0.314,-0.455,0.984
54:18.3,0.89,-0.275,-0.419,1.021
54:18.3,0.879,-0.218,-0.421,0.999
54:18.3,0.879,-0.218,-0.421,0.999
54:18.3,0.853,-0.343,-0.428,1.014
54:18.3,0.779,-0.405,-0.446,0.985
54:18.3,0.767,-0.389,-0.447,0.969
54:18.3,0.82,-0.394,-0.426,1.005
